name,lat,lng
Balaghat_Mine,21.83,80.19
Bharweli_Mine,21.86,80.26
Ukwa_Mine,21.93,80.52
Tirodi_Mine,22.16,79.68
Dongri_Buzurg,20.99,79.34
Chikla_Mine,21.30,79.66
Mansar_Mine,21.44,79.25
Kandri_Mine,21.38,79.32
Gumgaon_Mine,21.33,79.03
Beldongri_Mine,21.16,79.18
Sitapatore_Mine,21.52,79.72
Ramtek_Mine,21.40,79.33
Sausar_South,21.65,78.78
Linga_Deposit,21.95,78.90
Gowari_Wadhona,21.58,79.02
Miragpur_Deposit,21.68,79.80
Sukli_Deposit,21.72,79.85
Keonjhar_Deposit,21.63,85.58
Barabil_Mine,22.12,85.40
Sandur_Mine,15.08,76.55
