name,lat,lng,label
bg_38,21.58127,79.94373,0
bg_339,20.67741,80.3372,0
Beldongri_Mine_ext_1,21.16175,79.19744,1
bg_131,22.36151,79.45364,0
Ramtek_Mine_ext_4,21.39938,79.30896,1
bg_263,21.04681,78.61828,0
bg_269,21.61086,78.67282,0
Linga_Deposit_ext_3,21.93345,78.9279,1
bg_405,21.07019,78.79788,0
bg_24,21.07308,79.51001,0
bg_102,22.42238,79.85993,0
Sausar_South_ext_4,21.63217,78.76981,1
bg_262,21.32964,79.86868,0
bg_80,21.29701,78.54165,0
bg_17,21.17599,80.37352,0
bg_43,21.14591,79.72696,0
bg_12,22.09659,78.82148,0
Bharweli_Mine_ext_4,21.84177,80.26566,1
Linga_Deposit,21.95,78.9,1
bg_197,21.79842,79.11655,0
bg_122,21.06407,80.60415,0
bg_45,21.04166,80.31377,0
Bharweli_Mine,21.86,80.26,1
bg_57,21.92919,80.44684,0
bg_145,20.68257,78.65113,0
bg_47,20.65691,79.21696,0
bg_206,20.52431,80.49748,0
bg_328,20.86376,79.23313,0
Gowari_Wadhona_ext_2,21.55107,79.02332,1
bg_295,21.74062,79.62568,0
bg_149,21.64688,79.51375,0
bg_411,22.46476,79.76697,0
bg_358,21.24094,78.59681,0
Sausar_South_ext_1,21.66424,78.76363,1
bg_436,21.56518,80.12923,0
bg_332,21.83512,79.03581,0
Chikla_Mine,21.3,79.66,1
bg_93,21.67155,80.62881,0
bg_148,22.40121,79.7061,0
Gowari_Wadhona,21.58,79.02,1
bg_443,22.11975,80.526,0
Mansar_Mine_ext_3,21.45463,79.27441,1
bg_418,20.84178,78.68641,0
bg_104,20.89158,78.62595,0
Balaghat_Mine_ext_2,21.84166,80.21741,1
bg_20,21.65656,79.32531,0
bg_366,21.9267,80.30859,0
bg_92,20.55302,80.64904,0
bg_25,21.68167,79.36697,0
bg_158,20.68241,79.9812,0
bg_369,21.56423,80.52197,0
bg_413,21.29571,79.43944,0
bg_337,21.05718,79.71656,0
bg_414,22.43894,79.35718,0
bg_409,21.54902,80.36189,0
bg_289,21.62188,80.18412,0
bg_349,20.66352,79.46086,0
bg_119,22.25494,78.90569,0
bg_112,22.18975,79.2966,0
bg_175,20.6627,79.0593,0
bg_376,20.54014,80.66828,0
bg_283,21.84315,78.81468,0
bg_184,21.25252,78.5299,0
Linga_Deposit_ext_5,21.96464,78.87784,1
bg_111,21.13795,80.61567,0
bg_434,20.80873,80.45634,0
bg_52,21.31791,80.25365,0
Sandur_Mine_ext_3,15.08312,76.55694,1
Sausar_South,21.65,78.78,1
bg_437,20.60365,80.42513,0
bg_207,22.43976,79.62109,0
Linga_Deposit_ext_1,21.92209,78.90123,1
Bharweli_Mine_ext_3,21.82895,80.24988,1
Barabil_Mine_ext_1,22.13126,85.38457,1
bg_141,22.29105,78.93858,0
bg_319,21.1575,78.7773,0
Sukli_Deposit_ext_5,21.71558,79.83643,1
bg_408,20.66047,80.48289,0
Miragpur_Deposit,21.68,79.8,1
Linga_Deposit_ext_4,21.9359,78.8942,1
bg_118,21.75789,78.82397,0
bg_11,21.50303,80.43621,0
bg_90,20.64114,79.4755,0
Sausar_South_ext_5,21.65179,78.77094,1
