name,lat,lng,label,iron_oxide_index,ferrous_mineral_index,swir_b11_reflectance,swir_b12_reflectance,ndvi,elevation_m,slope_deg,dist_to_fault_km,temp_c,rainfall_mm,soil_moisture,data_source_live
bg_38,21.58127,79.94373,0,0.3273,0.2058,0.1659,0.2282,0.4807,342.1,2.9,38.852,27.04,9.66,0.55,True
bg_339,20.67741,80.3372,0,0.3204,0.2466,0.1775,0.2297,0.4667,343.9,3.6,102.109,26.4,10.08,0.54,True
Beldongri_Mine_ext_1,21.16175,79.19744,1,0.6982,0.5392,0.4423,0.4728,0.4269,282.6,10.2,1.946,27.54,8.94,0.56,True
bg_131,22.36151,79.45364,0,0.2845,0.2365,0.1632,0.2158,0.4288,608.5,7.3,33.64,25.23,9.62,0.57,True
Ramtek_Mine_ext_4,21.39938,79.30896,1,0.6787,0.5554,0.4052,0.4691,0.398,371.2,11.9,2.476,27.04,8.83,0.56,True
bg_263,21.04681,78.61828,0,0.2827,0.2301,0.1996,0.232,0.4777,337.0,3.1,55.468,27.44,7.58,0.52,True
bg_269,21.61086,78.67282,0,0.3071,0.2429,0.182,0.2068,0.4492,454.8,6.0,50.436,26.8,7.89,0.55,True
Linga_Deposit_ext_3,21.93345,78.9279,1,0.2962,0.2076,0.1711,0.2074,0.4386,637.8,7.7,65.409,25.39,8.91,0.56,True
bg_405,21.07019,78.79788,0,0.3224,0.1961,0.1662,0.2073,0.4371,337.0,2.9,38.672,27.44,7.58,0.52,True
bg_24,21.07308,79.51001,0,0.3542,0.2241,0.1682,0.1944,0.3957,282.6,2.1,21.004,27.54,8.94,0.56,True
bg_102,22.42238,79.85993,0,0.2733,0.2455,0.1392,0.2217,0.4539,508.3,5.1,35.314,25.74,9.89,0.58,True
Sausar_South_ext_4,21.63217,78.76981,1,0.3179,0.1899,0.1713,0.2081,0.4126,454.8,4.3,44.262,26.8,7.89,0.55,True
bg_262,21.32964,79.86868,0,0.2989,0.2271,0.1739,0.2067,0.4151,342.1,3.4,23.396,27.04,9.66,0.55,True
bg_80,21.29701,78.54165,0,0.3229,0.2469,0.1837,0.208,0.4362,454.8,5.3,54.33,26.8,7.89,0.55,True
bg_17,21.17599,80.37352,0,0.3022,0.2603,0.1782,0.2074,0.4239,349.6,3.4,75.399,26.51,9.7,0.54,True
bg_43,21.14591,79.72696,0,0.2933,0.2483,0.1892,0.2222,0.4109,291.9,2.6,18.649,27.2,9.85,0.56,True
bg_12,22.09659,78.82148,0,0.3128,0.238,0.1546,0.2091,0.4778,637.8,8.5,87.03,25.39,8.91,0.56,True
Bharweli_Mine_ext_4,21.84177,80.26566,1,0.6739,0.5414,0.3929,0.5005,0.3725,469.5,13.1,2.119,26.16,9.74,0.56,True
Linga_Deposit,21.95,78.9,1,0.3204,0.2104,0.1503,0.2262,0.4793,637.8,7.4,68.659,25.39,8.91,0.56,True
bg_197,21.79842,79.11655,0,0.2789,0.2324,0.1543,0.2266,0.3806,557.7,6.6,42.453,25.76,9.21,0.57,True
bg_122,21.06407,80.60415,0,0.3,0.2091,0.1605,0.2125,0.4957,349.6,2.4,96.253,26.51,9.7,0.54,True
bg_45,21.04166,80.31377,0,0.3446,0.2421,0.1606,0.2083,0.4248,349.6,2.2,78.029,26.51,9.7,0.54,True
Bharweli_Mine,21.86,80.26,1,0.746,0.6083,0.4946,0.5238,0.2763,469.5,14.2,0.0,26.16,9.74,0.56,True
bg_57,21.92919,80.44684,0,0.5547,0.3895,0.3191,0.3718,0.4157,547.2,10.2,8.121,25.56,9.39,0.55,True
bg_145,20.68257,78.65113,0,0.3313,0.182,0.184,0.2117,0.5076,274.2,1.9,79.086,27.91,7.53,0.53,True
bg_47,20.65691,79.21696,0,0.2813,0.2429,0.1828,0.2151,0.4394,243.6,1.9,39.415,27.75,9.01,0.57,True
bg_206,20.52431,80.49748,0,0.2958,0.2443,0.1831,0.2009,0.4566,343.9,3.4,126.709,26.4,10.08,0.54,True
bg_328,20.86376,79.23313,0,0.2585,0.2042,0.1845,0.2091,0.4362,282.6,3.2,18.36,27.54,8.94,0.56,True
Gowari_Wadhona_ext_2,21.55107,79.02332,1,0.2998,0.2113,0.1816,0.2409,0.4315,454.8,5.5,24.55,26.8,7.89,0.55,True
bg_295,21.74062,79.62568,0,0.3041,0.2283,0.1682,0.2218,0.438,371.2,4.4,46.94,27.04,8.83,0.56,True
bg_149,21.64688,79.51375,0,0.3147,0.2449,0.1707,0.2368,0.4197,371.2,4.1,36.607,27.04,8.83,0.56,True
bg_411,22.46476,79.76697,0,0.3178,0.2055,0.1905,0.2197,0.4304,508.3,5.6,35.179,25.74,9.89,0.58,True
bg_358,21.24094,78.59681,0,0.2947,0.1873,0.1677,0.1983,0.4137,337.0,3.7,49.09,27.44,7.58,0.52,True
Sausar_South_ext_1,21.66424,78.76363,1,0.2815,0.1867,0.1523,0.2078,0.4381,454.8,5.0,47.441,26.8,7.89,0.55,True
bg_436,21.56518,80.12923,0,0.3378,0.2079,0.1874,0.2072,0.409,342.1,4.0,30.159,27.04,9.66,0.55,True
bg_332,21.83512,79.03581,0,0.3452,0.2071,0.161,0.2184,0.4335,637.8,8.6,49.888,25.39,8.91,0.56,True
Chikla_Mine,21.3,79.66,1,0.75,0.5892,0.4746,0.5361,0.3208,371.2,12.9,0.0,27.04,8.83,0.56,True
bg_93,21.67155,80.62881,0,0.3056,0.2305,0.1671,0.2124,0.3922,414.8,4.7,31.127,26.26,9.4,0.56,True
bg_148,22.40121,79.7061,0,0.3169,0.2569,0.1738,0.2203,0.3452,508.3,5.3,26.931,25.74,9.89,0.58,True
Gowari_Wadhona,21.58,79.02,1,0.2927,0.2371,0.1917,0.2114,0.443,454.8,4.4,27.772,26.8,7.89,0.55,True
bg_443,22.11975,80.526,0,0.2954,0.2051,0.1682,0.2272,0.3893,547.2,6.9,21.073,25.56,9.39,0.55,True
Mansar_Mine_ext_3,21.45463,79.27441,1,0.6809,0.548,0.4046,0.4544,0.3533,371.2,10.4,3.159,27.04,8.83,0.56,True
bg_418,20.84178,78.68641,0,0.2818,0.2079,0.1952,0.2324,0.417,337.0,2.8,65.188,27.44,7.58,0.52,True
bg_104,20.89158,78.62595,0,0.2863,0.2497,0.1786,0.225,0.4148,337.0,3.2,66.18,27.44,7.58,0.52,True
Balaghat_Mine_ext_2,21.84166,80.21741,1,0.6367,0.5138,0.3992,0.4599,0.323,469.5,12.6,3.306,26.16,9.74,0.56,True
bg_20,21.65656,79.32531,0,0.3254,0.211,0.1795,0.2051,0.4677,371.2,4.2,25.45,27.04,8.83,0.56,True
bg_366,21.9267,80.30859,0,0.4943,0.3458,0.2639,0.3565,0.4053,469.5,10.0,9.16,26.16,9.74,0.56,True
bg_92,20.55302,80.64904,0,0.2987,0.1846,0.1662,0.1947,0.4477,343.9,3.4,137.576,26.4,10.08,0.54,True
bg_25,21.68167,79.36697,0,0.3101,0.2281,0.1992,0.2177,0.4319,371.2,4.5,29.802,27.04,8.83,0.56,True
bg_158,20.68241,79.9812,0,0.2675,0.2105,0.1765,0.2178,0.436,264.0,3.5,77.27,27.26,10.04,0.57,True
bg_369,21.56423,80.52197,0,0.2838,0.2096,0.1755,0.2099,0.4211,414.8,4.9,40.601,26.26,9.4,0.56,True
bg_413,21.29571,79.43944,0,0.3264,0.24,0.183,0.2176,0.4265,371.2,2.5,16.227,27.04,8.83,0.56,True
bg_337,21.05718,79.71656,0,0.3205,0.2181,0.1641,0.2119,0.4527,291.9,3.3,27.675,27.2,9.85,0.56,True
bg_414,22.43894,79.35718,0,0.3197,0.2016,0.1761,0.23,0.4713,608.5,7.8,47.357,25.23,9.62,0.57,True
